	accession	location	state	infection_date	index_ID	descendants	recovery	strain	region	country
794		1	S			[]		G23464	North America	USA
795		0	S			[]		G23465	North America	USA
796		1	S			[]		G23466	North America	USA
797		0	S			[]		G23467	North America	USA
798		0	S			[]		G23468	North America	USA
799		0	S			[]		G23469	North America	USA
800	4196	1	I	2020-03-10	2997	[]	2020-03-13	G23470	North America	USA
801	265	1	I	2020-03-28	1720	[]	2020-04-10	G23471	North America	USA
802		1	S			[]		G23472	North America	USA
803		0	S			[]		G23473	North America	USA
804	2823	0	I	2020-03-27	6470	[]	2020-04-06	G23474	North America	USA
805		0	S			[]		G23475	North America	USA
806		1	S			[]		G23476	North America	USA
807		1	S			[]		G23477	North America	USA
808	6855	1	I	2020-03-21	1000	[]	2020-03-23	G23478	North America	USA
809	6884	0	I	2020-03-28	7798	[]	2020-03-31	G23479	North America	USA
810		1	S			[]		G23480	North America	USA
811		1	S			[]		G23481	North America	USA
812		1	S			[]		G23482	North America	USA
813		0	S			[]		G23483	North America	USA
814		0	S			[]		G23484	North America	USA
815		0	S			[]		G23485	North America	USA
816	2126	1	I	2020-03-12	4615	[]	2020-03-22	G23486	North America	USA
817		0	S			[]		G23487	North America	USA
818	7828	0	I	2020-03-25	9046	[]	2020-04-01	G23488	North America	USA
819		1	S			[]		G23489	North America	USA
820		1	S			[]		G23490	North America	USA
821		0	S			[]		G23491	North America	USA
822		1	S			[]		G23492	North America	USA
823		1	S			[]		G23493	North America	USA
824		1	S			[]		G23494	North America	USA
825		0	S			[]		G23495	North America	USA
826		1	S			[]		G23496	North America	USA
827	8214	0	I	2020-03-23	6470	[]	2020-04-12	G23497	North America	USA
828		0	S			[]		G23498	North America	USA
829	6074	0	I	2020-03-20	1000	[]	2020-03-20	G23499	North America	USA
830	6608	1	I	2020-03-06	198	[]	2020-03-06	G23500	North America	USA
831		0	S			[]		G23501	North America	USA
832		0	S			[]		G23502	North America	USA
833		0	S			[]		G23503	North America	USA
834		1	S			[]		G23504	North America	USA
835		0	S			[]		G23505	North America	USA
836		1	S			[]		G23506	North America	USA
837		1	S			[]		G23507	North America	USA
838		1	S			[]		G23508	North America	USA
839		1	S			[]		G23509	North America	USA
840		0	S			[]		G23510	North America	USA
841	2114	1	I	2020-03-10	4676	[]	2020-03-14	G23511	North America	USA
842		1	S			[]		G23512	North America	USA
843		1	S			[]		G23513	North America	USA
844		1	S			[]		G23514	North America	USA
845		0	S			[]		G23515	North America	USA
846		0	S			[]		G23516	North America	USA
847	5823	1	I	2020-03-25	1817	[]	2020-04-08	G23517	North America	USA
848		0	S			[]		G23518	North America	USA
849		1	S			[]		G23519	North America	USA
850		1	S			[]		G23520	North America	USA
851		1	S			[]		G23521	North America	USA
852		0	S			[]		G23522	North America	USA
853	6822	0	I	2020-03-28	7587	[]	2020-04-04	G23523	North America	USA
854	6555	1	I	2020-03-31	712	[]	2020-04-20	G23524	North America	USA
855	5207	0	I	2020-03-10	5757	[]	2020-03-19	G23525	North America	USA
856		0	S			[]		G23526	North America	USA
857		0	S			[]		G23527	North America	USA
858		1	S			[]		G23528	North America	USA
859		0	S			[]		G23529	North America	USA
860		1	S			[]		G23530	North America	USA
861		0	S			[]		G23531	North America	USA
862		1	S			[]		G23532	North America	USA
863	5829	0	I	2020-03-15	2797	[]	2020-03-24	G23533	North America	USA
864		0	S			[]		G23534	North America	USA
865		1	S			[]		G23535	North America	USA
866	6911	0	I	2020-03-06	198	[]	2020-03-10	G23536	North America	USA
867		0	S			[]		G23537	North America	USA
868		0	S			[]		G23538	North America	USA
869		0	S			[]		G23539	North America	USA
870		0	S			[]		G23540	North America	USA
871		0	S			[]		G23541	North America	USA
872	7197	1	I	2020-03-28	1586	[]	2020-04-11	G23542	North America	USA
873		0	S			[]		G23543	North America	USA
874		0	S			[]		G23544	North America	USA
875	4154	0	I	2020-03-23	2077	[]	2020-04-01	G23545	North America	USA
876		0	S			[]		G23546	North America	USA
877		0	S			[]		G23547	North America	USA
878		1	S			[]		G23548	North America	USA
879		0	S			[]		G23549	North America	USA
880	7514	1	I	2020-03-18	2917	[]	2020-03-23	G23550	North America	USA
881		0	S			[]		G23551	North America	USA
882		1	S			[]		G23552	North America	USA
883		0	S			[]		G23553	North America	USA
884		1	S			[]		G23554	North America	USA
885		0	S			[]		G23555	North America	USA
